,promth,label
677,tampilkan dong jumlah foto saat date ya,len_date
678,tampilkan foto saat di kampus,kuliah
679,tampilkan foto saat kuliah,kuliah 
680,aku ingin lihat foto saat date,date
681,tolong tampilkan foto saat sma,sma
682,aku ingin lihat foto ku,yudo
683,aku ingin lihat foto ovil,ovil 
684,aku ingin lihat foto ovil saja,ovil 
685,bisa tolong tampilkan foto ku,yudo
686,foto saat kuliah,kuliah
687,foto acara kampus,kuliah
688,aku ingin lihat foto ovil apa saja,ovil 
689,aku ingin lihat jumplah foto ku,len_yudo
690,jumlah foto saat kuliah berapa,len_kuliah
691,berapasih jumlah foto ku,len_yudo
692,tampilkan foto ovil,ovil 
693,tampilkan foto ku dong,yudo
694,kenangan saat sma,sma
695,tampilkan jumlah foto saat sma,len_sma
696,kenangan saat sma apa saja,sma 
697,tampilkan foto ovil saja ya,ovil 
698,tampilkan foto saat jaman sma,sma
699,jumlah foto saat kita date,len_date
700,tampilkan foto kita saat berdua,date
701,aku ingin lihat foto mesra kita,date
702,tampilkan kenangan saat sma,sma
703,tampilkan foto aktivitas kita di kampus,kuliah
704,aku ingin lihat foto yudo,yudo
705,perlihatkan foto yudo saja,yudo
706,aku ingin mengingat kenangan dulu saat sma,sma
707,perlihatkan foto kita saat keluar,date
708,tampilkan foto saat di kampus,kuliah
709,tampilkan foto saat kuliah,kuliah 
710,aku ingin lihat foto saat date,date
711,tolong tampilkan foto saat sma,sma
712,aku ingin lihat foto ku,yudo
713,aku ingin lihat foto ovil,ovil 
714,aku ingin lihat foto ovil saja,ovil 
715,bisa tolong tampilkan foto ku,yudo
716,foto saat kuliah,kuliah
717,foto acara kampus,kuliah
718,aku ingin lihat foto ovil apa saja,ovil 
719,aku ingin lihat jumplah foto ku,len_yudo
720,jumlah foto saat kuliah berapa,len_kuliah
721,berapasih jumlah foto ku ,len_yudo
722,tampilkan foto ovil,ovil 
723,tampilkan foto ku dong,yudo
724,kenangan saat sma,sma
725,tampilkan jumlah foto saat sma,len_sma
726,kenangan saat sma apa saja,sma 
727,tampilkan foto ovil saja ya,ovil 
728,tampilkan foto saat jaman sma,sma
729,tampilkan foto kita saat berdua,date
730,aku ingin lihat foto mesra kita,date
731,tampilkan kenangan saat sma ,sma
732,tampilkan foto aktivitas kita di kampus,kuliah
733,aku ingin lihat foto yudo,yudo
734,perlihatkan foto yudo saja,yudo
735,aku ingin mengingat kenangan dulu saat sma,sma
736,perlihatkan foto kita saat keluar,date
737,tampilkan foto saat di kampus,kuliah
738,tampilkan foto saat kuliah,kuliah 
739,aku ingin lihat foto saat date,date
740,tolong tampilkan foto saat sma,sma
741,aku ingin lihat foto ku,yudo
742,aku ingin lihat foto ovil,ovil 
743,aku ingin lihat foto ovil saja,ovil 
744,bisa tolong tampilkan foto ku,yudo
745,foto saat kuliah,kuliah
746,foto acara kampus,kuliah
747,aku ingin lihat foto ovil apa saja,ovil 
748,aku ingin lihat jumplah foto ku,len_yudo
749,jumlah foto saat kuliah berapa,len_kuliah
750,berapasih jumlah foto ku,len_yudo
751,tampilkan foto ovil,ovil 
752,tampilkan foto ku dong,yudo
753,kenangan saat sma,sma
754,tampilkan jumlah foto saat sma,len_sma
755,kenangan saat sma apa saja,sma 
756,tampilkan foto ovil saja ya,ovil 
757,tampilkan foto saat jaman sma,sma
758,tampilkan foto kita saat berdua,date
759,aku ingin lihat foto mesra kita,date
760,tampilkan kenangan saat sma ,sma
761,tampilkan foto aktivitas kita di kampus,kuliah
762,aku ingin lihat foto yudo,yudo
763,perlihatkan foto yudo saja,yudo
764,aku ingin mengingat kenangan dulu saat sma,sma
765,perlihatkan foto kita saat keluar,date
766,tampilkan foto saat di kampus,kuliah
767,tampilkan foto saat kuliah,kuliah 
768,aku ingin lihat foto saat date,date
769,tolong tampilkan foto saat sma,sma
770,aku ingin lihat foto ku,yudo
771,aku ingin lihat foto ovil,ovil 
772,aku ingin lihat foto ovil saja,ovil 
773,bisa tolong tampilkan foto ku,yudo
774,foto saat kuliah,kuliah
775,foto acara kampus,kuliah
776,aku ingin lihat foto ovil apa saja,ovil 
777,aku ingin lihat jumplah foto ku,len_yudo
778,jumlah foto saat kuliah berapa,len_kuliah
779,berapasih jumlah foto ku,len_yudo
780,tampilkan foto ovil,ovil 
781,tampilkan foto ku dong,yudo
782,kenangan saat sma,sma
783,tampilkan jumlah foto saat sma,len_sma
784,kenangan saat sma apa saja,sma 
785,tampilkan foto ovil saja ya,ovil 
786,tampilkan foto saat jaman sma,sma
787,tampilkan foto kita saat berdua,date
788,aku ingin lihat foto mesra kita,date
789,tampilkan kenangan saat sma,sma
790,tampilkan foto aktivitas kita di kampus,kuliah
791,aku ingin lihat foto yudo,yudo
792,perlihatkan foto yudo saja,yudo
793,aku ingin mengingat kenangan dulu saat sma,sma
794,perlihatkan foto kita saat keluar,date
795,tampilkan foto saat di kampus,kuliah
796,tampilkan foto saat kuliah,kuliah 
797,aku ingin lihat foto saat date,date
798,tolong tampilkan foto saat sma,sma
799,aku ingin lihat foto ku,yudo
800,aku ingin lihat foto ovil,ovil 
801,aku ingin lihat foto ovil saja,ovil 
802,bisa tolong tampilkan foto ku ,yudo
803,foto saat kuliah,kuliah
804,foto acara kampus,kuliah
805,aku ingin lihat foto ovil apa saja,ovil 
806,aku ingin lihat jumplah foto ku,len_yudo
807,jumlah foto saat kuliah berapa,len_kuliah
808,berapasih jumlah foto ku,len_yudo
809,tampilkan foto ovil,ovil 
810,tampilkan foto ku dong,yudo
811,kenangan saat sma,sma
812,tampilkan jumlah foto saat sma,len_sma
813,kenangan saat sma apa saja,sma 
814,tampilkan foto ovil saja ya,ovil 
815,tampilkan foto saat jaman sma,sma
816,tampilkan foto kita saat berdua,date
817,aku ingin lihat foto mesra kita,date
818,tampilkan kenangan saat sma,sma
819,tampilkan foto aktivitas kita di kampus,kuliah
820,aku ingin lihat foto yudo,yudo
821,perlihatkan foto yudo saja,yudo
822,aku ingin mengingat kenangan dulu saat sma,sma
823,perlihatkan foto kita saat keluar,date
824,tampilkan foto saat di kampus,kuliah
825,tampilkan foto saat kuliah,kuliah 
826,aku ingin lihat foto saat date,date
827,tolong tampilkan foto saat sma,sma
828,aku ingin lihat foto ku,yudo
829,aku ingin lihat foto ovil,ovil 
830,aku ingin lihat foto ovil saja,ovil 
831,bisa tolong tampilkan foto ku,yudo
832,foto saat kuliah,kuliah
833,foto acara kampus,kuliah
834,aku ingin lihat foto ovil apa saja,ovil 
835,aku ingin lihat jumplah foto ku,len_yudo
836,jumlah foto saat kuliah berapa,len_kuliah
837,berapasih jumlah foto ku,len_yudo
838,tampilkan foto ovil,ovil 
839,tampilkan foto ku dong,yudo
840,kenangan saat sma,sma
841,tampilkan jumlah foto saat sma,len_sma
842,kenangan saat sma apa saja,sma 
843,tampilkan foto ovil saja ya,ovil 
844,tampilkan foto saat jaman sma,sma
845,tampilkan jumlah foto date,len_date
846,aku ingin lihat foto mesra kita,date
847,tampilkan kenangan saat sma,sma
848,tampilkan foto aktivitas kita di kampus,kuliah
849,aku ingin lihat foto yudo,yudo
850,perlihatkan foto yudo saja,yudo
851,aku ingin mengingat kenangan dulu saat sma,sma
852,perlihatkan foto kita saat keluar,date
853,tampilkan foto saat di kampus,kuliah
854,tampilkan foto saat kuliah,kuliah 
855,aku ingin lihat foto saat date,date
856,tolong tampilkan foto saat sma,sma
857,aku ingin lihat foto ku,yudo
858,aku ingin lihat foto ovil,ovil 
859,aku ingin lihat foto ovil saja,ovil 
860,bisa tolong tampilkan foto ku,yudo
861,foto saat kuliah,kuliah
862,foto acara kampus,kuliah
863,aku ingin lihat foto ovil apa saja,ovil 
864,aku ingin lihat jumplah foto ku,len_yudo
865,jumlah foto saat kuliah berapa,len_kuliah
866,berapasih jumlah foto ku,len_yudo
867,tampilkan foto ovil,ovil 
868,tampilkan foto ku dong,yudo
869,kenangan saat sma,sma
870,tampilkan jumlah foto saat sma,len_sma
871,kenangan saat sma apa saja,sma 
872,tampilkan foto ovil saja ya,ovil 
873,tampilkan foto saat jaman sma,sma
874,tampilkan foto kita saat berdua,date
875,tampilkan foto kita saat berdua,date
876,aku ingin lihat foto mesra kita,date
877,tampilkan kenangan saat sma,sma
878,tampilkan foto aktivitas kita di kampus,kuliah
879,aku ingin lihat foto yudo,yudo
880,perlihatkan foto yudo saja,yudo
881,aku ingin mengingat kenangan dulu saat sma,sma
882,perlihatkan foto kita saat keluar,date
883,tampilkan foto saat di kampus,kuliah
884,tampilkan foto saat kuliah,kuliah 
885,aku ingin lihat foto saat date,date
886,tolong tampilkan foto saat sma,sma
887,aku ingin lihat foto ku,yudo
888,aku ingin lihat foto ovil,ovil 
889,aku ingin lihat foto ovil saja,ovil 
890,bisa tolong tampilkan foto ku,yudo
891,foto saat kuliah,kuliah
892,foto acara kampus,kuliah
893,aku ingin lihat foto ovil apa saja,ovil 
894,aku ingin lihat jumplah foto ku,len_yudo
895,jumlah foto saat kuliah berapa,len_kuliah
896,berapasih jumlah foto ku ,len_yudo
897,tampilkan foto ovil,ovil 
898,tampilkan foto ku dong,yudo
899,kenangan saat sma,sma
900,tampilkan jumlah foto saat sma,len_sma
901,kenangan saat sma apa saja,sma 
902,tampilkan foto ovil saja ya,ovil 
903,tampilkan foto saat jaman sma,sma
904,tampilkan foto kita saat berdua,date
905,aku ingin lihat foto mesra kita,date
906,tampilkan kenangan saat sma,sma
907,tampilkan foto aktivitas kita di kampus,kuliah
908,aku ingin lihat foto yudo,yudo
909,perlihatkan foto yudo saja,yudo
910,aku ingin mengingat kenangan dulu saat sma,sma
911,perlihatkan foto kita saat keluar,date
912,tampilkan foto saat di kampus,kuliah
913,tampilkan foto saat kuliah,kuliah 
914,aku ingin lihat foto saat date,date
915,tolong tampilkan foto saat sma,sma
916,aku ingin lihat foto ku,yudo
917,aku ingin lihat foto ovil,ovil 
918,aku ingin lihat foto ovil saja,ovil 
919,bisa tolong tampilkan foto ku ,yudo
920,foto saat kuliah,kuliah
921,foto acara kampus,kuliah
922,aku ingin lihat foto ovil apa saja,ovil 
923,aku ingin lihat jumplah foto ku,len_yudo
924,jumlah foto saat kuliah berapa,len_kuliah
925,berapasih jumlah foto ku,len_yudo
926,tampilkan foto ovil,ovil 
927,tampilkan foto ku dong,yudo
928,kenangan saat sma,sma
929,tampilkan jumlah foto saat sma,len_sma
930,kenangan saat sma apa saja,sma 
931,tampilkan foto ovil saja ya,ovil 
932,tampilkan foto saat jaman sma,sma
933,tampilkan foto kita saat berdua,date
934,aku ingin lihat foto mesra kita,date
935,tampilkan kenangan saat sma,sma
936,tampilkan foto aktivitas kita di kampus,kuliah
937,aku ingin lihat foto yudo,yudo
938,perlihatkan foto yudo saja,yudo
939,aku ingin mengingat kenangan dulu saat sma,sma
940,perlihatkan foto kita saat keluar,date
941,tampilkan foto saat di kampus,kuliah
942,tampilkan foto saat kuliah,kuliah 
943,aku ingin lihat foto saat date,date
944,tolong tampilkan foto saat sma,sma
945,aku ingin lihat foto ku,yudo
946,aku ingin lihat foto ovil,ovil 
947,aku ingin lihat foto ovil saja,ovil 
948,bisa tolong tampilkan foto ku,yudo
949,foto saat kuliah,kuliah
950,foto acara kampus,kuliah
951,aku ingin lihat foto ovil apa saja,ovil 
952,aku ingin lihat jumplah foto ku,len_yudo
953,jumlah foto saat kuliah berapa,len_kuliah
954,berapasih jumlah foto ku,len_yudo
955,tampilkan foto ovil,ovil 
956,tampilkan foto ku dong,yudo
957,kenangan saat sma,sma
958,tampilkan jumlah foto saat sma,len_sma
959,kenangan saat sma apa saja,sma 
960,tampilkan foto ovil saja ya,ovil 
961,tampilkan foto saat jaman sma,sma
962,tampilkan foto kita saat berdua,date
963,aku ingin lihat foto mesra kita,date
964,tampilkan kenangan saat sma,sma
965,tampilkan foto aktivitas kita di kampus,kuliah
966,aku ingin lihat foto yudo,yudo
967,perlihatkan foto yudo saja,yudo
968,aku ingin mengingat kenangan dulu saat sma,sma
969,perlihatkan foto kita saat keluar,date
970,tampilkan foto saat di kampus,kuliah
971,tampilkan foto saat kuliah,kuliah 
972,aku ingin lihat foto saat date,date
973,tolong tampilkan foto saat sma,sma
974,aku ingin lihat foto ku,yudo
975,aku ingin lihat foto ovil,ovil 
976,aku ingin lihat foto ovil saja,ovil 
977,bisa tolong tampilkan foto ku,yudo
978,foto saat kuliah,kuliah
979,foto acara kampus,kuliah
980,aku ingin lihat foto ovil apa saja,ovil 
981,aku ingin lihat jumplah foto ku,len_yudo
982,jumlah foto saat kuliah berapa,len_kuliah
983,berapasih jumlah foto ku,len_yudo
984,tampilkan foto ovil,ovil 
985,tampilkan foto ku dong,yudo
986,kenangan saat sma,sma
987,tampilkan jumlah foto saat sma,len_sma
988,kenangan saat sma apa saja,sma 
989,tampilkan foto ovil saja ya,ovil 
990,tampilkan foto saat jaman sma,sma
991,tampilkan foto kita saat berdua,date
992,aku ingin lihat foto mesra kita,date
993,tampilkan kenangan saat sma,sma
994,tampilkan foto aktivitas kita di kampus,kuliah
995,aku ingin lihat foto yudo,yudo
996,perlihatkan foto yudo saja,yudo
997,aku ingin mengingat kenangan dulu saat sma,sma
998,perlihatkan foto kita saat keluar,date
999,tampilkan foto saat di kampus,kuliah
1000,tampilkan foto saat kuliah,kuliah 
1001,aku ingin lihat foto saat date,date
1002,tolong tampilkan foto saat sma,sma
1003,aku ingin lihat foto ku,yudo
1004,aku ingin lihat foto ovil,ovil 
1005,aku ingin lihat foto ovil saja,ovil 
1006,bisa tolong tampilkan foto ku,yudo
1007,foto saat kuliah,kuliah
1008,foto acara kampus,kuliah
1009,aku ingin lihat foto ovil apa saja,ovil 
1010,aku ingin lihat jumplah foto ku,len_yudo
1011,jumlah foto saat kuliah berapa,len_kuliah
1012,berapasih jumlah foto ku,len_yudo
1013,tampilkan foto ovil,ovil 
1014,tampilkan foto ku dong,yudo
1015,kenangan saat sma,sma
1016,tampilkan jumlah foto saat sma,len_sma
1017,kenangan saat sma apa saja,sma 
1018,tampilkan foto ovil saja ya,ovil 
1019,tampilkan foto saat jaman sma,sma
1020,tampilkan foto kita saat berdua,date
1021,aku ingin lihat foto mesra kita,date
1022,tampilkan kenangan saat sma,sma
1023,tampilkan foto aktivitas kita di kampus,kuliah
1024,aku ingin lihat foto yudo,yudo
1025,perlihatkan foto yudo saja,yudo
1026,aku ingin mengingat kenangan dulu saat sma,sma
1027,tampilkan dong jumlah foto saat date ya,len_date
1028,tampilkan foto saat di kampus,kuliah
1029,tampilkan foto saat kuliah,kuliah 
1030,aku ingin lihat foto saat date,date
1031,tolong tampilkan foto saat sma,sma
1032,aku ingin lihat foto ku,yudo
1033,aku ingin lihat foto ovil,ovil 
1034,aku ingin lihat foto ovil saja,ovil 
1035,bisa tolong tampilkan foto ku,yudo
1036,foto saat kuliah,kuliah
1037,foto acara kampus,kuliah
1038,aku ingin lihat foto ovil apa saja,ovil 
1039,aku ingin lihat jumplah foto ku,len_yudo
1040,jumlah foto saat kuliah berapa,len_kuliah
1041,berapasih jumlah foto ku,len_yudo
1042,tampilkan foto ovil,ovil 
1043,tampilkan foto ku dong,yudo
1044,kenangan saat sma,sma
1045,tampilkan jumlah foto saat sma,len_sma
1046,kenangan saat sma apa saja,sma 
1047,tampilkan foto ovil saja ya,ovil 
1048,tampilkan foto saat jaman sma,sma
1049,jumlah foto date,len_date
1050,tampilkan foto kita saat berdua,date
1051,aku ingin lihat foto mesra kita,date
1052,tampilkan kenangan saat sma,sma
1053,tampilkan foto aktivitas kita di kampus,kuliah
1054,aku ingin lihat foto yudo,yudo
1055,perlihatkan foto yudo saja,yudo
1056,aku ingin mengingat kenangan dulu saat sma,sma
1057,perlihatkan foto kita saat keluar,date
1058,tampilkan foto saat di kampus,kuliah
1059,tampilkan foto saat kuliah,kuliah 
1060,aku ingin lihat foto saat date ,date
1061,tolong tampilkan foto saat sma,sma
1062,aku ingin lihat foto ku,yudo
1063,aku ingin lihat foto ovil,ovil 
1064,aku ingin lihat foto ovil saja,ovil 
1065,bisa tolong tampilkan foto ku,yudo
1066,foto saat kuliah,kuliah
1067,foto acara kampus,kuliah
1068,aku ingin lihat foto ovil apa saja,ovil 
1069,aku ingin lihat jumplah foto ku,len_yudo
1070,jumlah foto saat kuliah berapa,len_kuliah
1071,berapasih jumlah foto ku,len_yudo
1072,tampilkan foto ovil,ovil 
1073,tampilkan foto ku dong,yudo
1074,kenangan saat sma,sma
1075,tampilkan jumlah foto saat sma,len_sma
1076,kenangan saat sma apa saja,sma 
1077,tampilkan foto ovil saja ya,ovil 
1078,tampilkan foto saat jaman sma,sma
1079,tampilkan foto kita saat berdua,date
1080,aku ingin lihat foto mesra kita,date
1081,tampilkan kenangan saat sma,sma
1082,tampilkan foto aktivitas kita di kampus,kuliah
1083,aku ingin lihat foto yudo,yudo
1084,perlihatkan foto yudo saja,yudo
1085,aku ingin mengingat kenangan dulu saat sma,sma
1086,perlihatkan foto kita saat keluar,date
1087,tampilkan foto saat di kampus,kuliah
1088,tampilkan foto saat kuliah,kuliah 
1089,aku ingin lihat foto saat date,date
1090,tolong tampilkan foto saat sma,sma
1091,aku ingin lihat foto ku,yudo
1092,aku ingin lihat foto ovil,ovil 
1093,aku ingin lihat foto ovil saja,ovil 
1094,bisa tolong tampilkan foto ku,yudo
1095,foto saat kuliah,kuliah
1096,foto acara kampus,kuliah
1097,aku ingin lihat foto ovil apa saja,ovil 
1098,aku ingin lihat jumplah foto ku,len_yudo
1099,jumlah foto saat kuliah berapa,len_kuliah
1100,berapasih jumlah foto ku,len_yudo
1101,tampilkan foto ovil,ovil 
1102,tampilkan foto ku dong,yudo
1103,kenangan saat sma,sma
1104,tampilkan jumlah foto saat sma,len_sma
1105,kenangan saat sma apa saja,sma 
1106,tampilkan foto ovil saja ya,ovil 
1107,tampilkan foto saat jaman sma,sma
1108,tampilkan foto kita saat berdua,date
1109,aku ingin lihat foto mesra kita,date
1110,tampilkan kenangan saat sma,sma
1111,tampilkan foto aktivitas kita di kampus,kuliah
1112,aku ingin lihat foto yudo,yudo
1113,perlihatkan foto yudo saja,yudo
1114,aku ingin mengingat kenangan dulu saat sma,sma
1115,perlihatkan foto kita saat keluar,date
1116,tampilkan foto saat di kampus,kuliah
1117,tampilkan foto saat kuliah,kuliah 
1118,aku ingin lihat foto saat date,date
1119,tolong tampilkan foto saat sma,sma
1120,aku ingin lihat foto ku,yudo
1121,aku ingin lihat foto ovil,ovil 
1122,aku ingin lihat foto ovil saja,ovil 
1123,bisa tolong tampilkan foto ku,yudo
1124,foto saat kuliah,kuliah
1125,foto acara kampus,kuliah
1126,aku ingin lihat foto ovil apa saja,ovil 
1127,aku ingin lihat jumplah foto ku,len_yudo
1128,jumlah foto saat kuliah berapa,len_kuliah
1129,berapasih jumlah foto ku,len_yudo
1130,tampilkan foto ovil,ovil 
1131,tampilkan foto ku dong,yudo
1132,kenangan saat sma,sma
1133,tampilkan jumlah foto saat sma,len_sma
1134,kenangan saat sma apa saja,sma 
1135,tampilkan foto ovil saja ya,ovil 
1136,tampilkan foto saat jaman sma,sma
1137,tampilkan foto kita saat berdua,date
1138,aku ingin lihat foto mesra kita,date
1139,tampilkan kenangan saat sma,sma
1140,tampilkan foto aktivitas kita di kampus,kuliah
1141,aku ingin lihat foto yudo,yudo
1142,perlihatkan foto yudo saja,yudo
1143,aku ingin mengingat kenangan dulu saat sma,sma
1144,perlihatkan foto kita saat keluar,date
1145,tampilkan foto saat di kampus,kuliah
1146,tampilkan foto saat kuliah,kuliah 
1147,aku ingin lihat foto saat date,date
1148,tolong tampilkan foto saat sma,sma
1149,aku ingin lihat foto ku,yudo
1150,aku ingin lihat foto ovil,ovil 
1151,aku ingin lihat foto ovil saja,ovil 
1152,bisa tolong tampilkan foto ku,yudo
1153,foto saat kuliah,kuliah
1154,foto acara kampus,kuliah
1155,aku ingin lihat foto ovil apa saja,ovil 
1156,aku ingin lihat jumplah foto ku,len_yudo
1157,jumlah foto saat kuliah berapa,len_kuliah
1158,berapasih jumlah foto ku,len_yudo
1159,tampilkan foto ovil,ovil 
1160,tampilkan foto ku dong,yudo
1161,kenangan saat sma,sma
1162,tampilkan jumlah foto saat sma,len_sma
1163,kenangan saat sma apa saja,sma 
1164,tampilkan foto ovil saja ya,ovil 
1165,tampilkan foto saat jaman sma,sma
1166,tampilkan foto kita saat berdua,date
1167,aku ingin lihat foto mesra kita,date
1168,tampilkan kenangan saat sma,sma
1169,tampilkan foto aktivitas kita di kampus,kuliah
1170,aku ingin lihat foto yudo,yudo
1171,perlihatkan foto yudo saja,yudo
1172,aku ingin mengingat kenangan dulu saat sma,sma
1173,perlihatkan foto kita saat keluar,date
1174,tampilkan foto saat di kampus,kuliah
1175,tampilkan foto saat kuliah,kuliah 
1176,aku ingin lihat foto saat date,date
1177,tolong tampilkan foto saat sma,sma
1178,aku ingin lihat foto ku,yudo
1179,aku ingin lihat foto ovil,ovil 
1180,aku ingin lihat foto ovil saja,ovil 
1181,bisa tolong tampilkan foto ku,yudo
1182,foto saat kuliah,kuliah
1183,foto acara kampus,kuliah
1184,aku ingin lihat foto ovil apa saja,ovil 
1185,aku ingin lihat jumplah foto ku,len_yudo
1186,jumlah foto saat kuliah berapa,len_kuliah
1187,berapasih jumlah foto ku,len_yudo
1188,tampilkan foto ovil,ovil 
1189,tampilkan foto ku dong,yudo
1190,kenangan saat sma,sma
1191,tampilkan jumlah foto saat sma,len_sma
1192,kenangan saat sma apa saja,sma 
1193,tampilkan foto ovil saja ya,ovil 
1194,tampilkan foto saat jaman sma,sma
1195,tampilkan jumlah foto date,len_date
1196,aku ingin lihat foto mesra kita,date
1197,tampilkan kenangan saat sma,sma
1198,tampilkan foto aktivitas kita di kampus,kuliah
1199,aku ingin lihat foto yudo,yudo
1200,perlihatkan foto yudo saja,yudo
1201,aku ingin mengingat kenangan dulu saat sma,sma
1202,perlihatkan foto kita saat keluar,date
1203,tampilkan foto saat di kampus,kuliah
1204,tampilkan foto saat kuliah,kuliah 
1205,aku ingin lihat foto saat date,date
1206,tolong tampilkan foto saat sma,sma
1207,aku ingin lihat foto ku,yudo
1208,aku ingin lihat foto ovil,ovil 
1209,aku ingin lihat foto ovil saja,ovil 
1210,bisa tolong tampilkan foto ku,yudo
1211,foto saat kuliah,kuliah
1212,foto acara kampus,kuliah
1213,aku ingin lihat foto ovil apa saja,ovil 
1214,aku ingin lihat jumplah foto ku,len_yudo
1215,jumlah foto saat kuliah berapa,len_kuliah
1216,berapasih jumlah foto ku,len_yudo
1217,tampilkan foto ovil,ovil 
1218,tampilkan foto ku dong,yudo
1219,kenangan saat sma,sma
1220,tampilkan jumlah foto saat sma,len_sma
1221,kenangan saat sma apa saja,sma 
1222,tampilkan foto ovil saja ya,ovil 
1223,tampilkan foto saat jaman sma,sma
1224,tampilkan foto kita saat berdua,date
1225,tampilkan foto kita saat berdua,date
1226,aku ingin lihat foto mesra kita,date
1227,tampilkan kenangan saat sma,sma
1228,tampilkan foto aktivitas kita di kampus,kuliah
1229,aku ingin lihat foto yudo,yudo
1230,perlihatkan foto yudo saja,yudo
1231,aku ingin mengingat kenangan dulu saat sma,sma
1232,perlihatkan foto kita saat keluar,date
1233,tampilkan foto saat di kampus,kuliah
1234,tampilkan foto saat kuliah,kuliah 
1235,aku ingin lihat foto saat date,date
1236,tolong tampilkan foto saat sma,sma
1237,aku ingin lihat foto ku,yudo
1238,aku ingin lihat foto ovil,ovil 
1239,aku ingin lihat foto ovil saja,ovil 
1240,bisa tolong tampilkan foto ku,yudo
1241,foto saat kuliah,kuliah
1242,foto acara kampus,kuliah
1243,aku ingin lihat foto ovil apa saja,ovil 
1244,aku ingin lihat jumplah foto ku,len_yudo
1245,jumlah foto saat kuliah berapa,len_kuliah
1246,berapasih jumlah foto ku,len_yudo
1247,tampilkan foto ovil,ovil 
1248,tampilkan foto ku dong,yudo
1249,kenangan saat sma,sma
1250,tampilkan jumlah foto saat sma,len_sma
1251,kenangan saat sma apa saja,sma 
1252,tampilkan foto ovil saja ya,ovil 
1253,tampilkan foto saat jaman sma,sma
1254,tampilkan foto kita saat berdua,date
1255,aku ingin lihat foto mesra kita,date
1256,tampilkan kenangan saat sma,sma
1257,tampilkan foto aktivitas kita di kampus,kuliah
1258,aku ingin lihat foto yudo,yudo
1259,perlihatkan foto yudo saja,yudo
1260,aku ingin mengingat kenangan dulu saat sma,sma
1261,perlihatkan foto kita saat keluar,date
1262,tampilkan foto saat di kampus,kuliah
1263,tampilkan foto saat kuliah,kuliah 
1264,aku ingin lihat foto saat date,date
1265,tolong tampilkan foto saat sma,sma
1266,aku ingin lihat foto ku,yudo
1267,aku ingin lihat foto ovil,ovil 
1268,aku ingin lihat foto ovil saja,ovil 
1269,bisa tolong tampilkan foto ku,yudo
1270,foto saat kuliah,kuliah
1271,foto acara kampus,kuliah
1272,aku ingin lihat foto ovil apa saja,ovil 
1273,aku ingin lihat jumplah foto ku,len_yudo
1274,jumlah foto saat kuliah berapa,len_kuliah
1275,berapasih jumlah foto ku,len_yudo
1276,tampilkan foto ovil,ovil 
1277,tampilkan foto ku dong,yudo
1278,kenangan saat sma,sma
1279,tampilkan jumlah foto saat sma,len_sma
1280,kenangan saat sma apa saja,sma 
1281,tampilkan foto ovil saja ya,ovil 
1282,tampilkan foto saat jaman sma,sma
1283,tampilkan foto kita saat berdua,date
1284,aku ingin lihat foto mesra kita,date
1285,tampilkan kenangan saat sma,sma
1286,tampilkan foto aktivitas kita di kampus,kuliah
1287,aku ingin lihat foto yudo,yudo
1288,perlihatkan foto yudo saja,yudo
1289,aku ingin mengingat kenangan dulu saat sma,sma
1290,perlihatkan foto kita saat keluar,date
1291,tampilkan foto saat di kampus,kuliah
1292,tampilkan foto saat kuliah,kuliah 
1293,aku ingin lihat foto saat date,date
1294,tolong tampilkan foto saat sma,sma
1295,aku ingin lihat foto ku,yudo
1296,aku ingin lihat foto ovil,ovil 
1297,aku ingin lihat foto ovil saja,ovil 
1298,bisa tolong tampilkan foto ku,yudo
1299,foto saat kuliah,kuliah
1300,foto acara kampus,kuliah
1301,aku ingin lihat foto ovil apa saja,ovil 
1302,aku ingin lihat jumplah foto ku,len_yudo
1303,jumlah foto saat kuliah berapa,len_kuliah
1304,berapasih jumlah foto ku,len_yudo
1305,tampilkan foto ovil,ovil 
1306,tampilkan foto ku dong,yudo
1307,kenangan saat sma,sma
1308,tampilkan jumlah foto saat sma,len_sma
1309,kenangan saat sma apa saja,sma 
1310,tampilkan foto ovil saja ya,ovil 
1311,tampilkan foto saat jaman sma,sma
1312,tampilkan foto kita saat berdua,date
1313,aku ingin lihat foto mesra kita,date
1314,tampilkan kenangan saat sma,sma
1315,tampilkan foto aktivitas kita di kampus,kuliah
1316,aku ingin lihat foto yudo,yudo
1317,perlihatkan foto yudo saja,yudo
1318,aku ingin mengingat kenangan dulu saat sma,sma
1319,perlihatkan foto kita saat keluar,date
1320,tampilkan foto saat di kampus,kuliah
1321,tampilkan foto saat kuliah,kuliah 
1322,aku ingin lihat foto saat date,date
1323,tolong tampilkan foto saat sma,sma
1324,aku ingin lihat foto ku,yudo
1325,aku ingin lihat foto ovil,ovil 
1326,aku ingin lihat foto ovil saja,ovil 
1327,bisa tolong tampilkan foto ku,yudo
1328,foto saat kuliah,kuliah
1329,foto acara kampus,kuliah
1330,aku ingin lihat foto ovil apa saja,ovil 
1331,aku ingin lihat jumplah foto ku,len_yudo
1332,jumlah foto saat kuliah berapa,len_kuliah
1333,berapasih jumlah foto ku,len_yudo
1334,tampilkan foto ovil,ovil 
1335,tampilkan foto ku dong,yudo
1336,kenangan saat sma,sma
1337,tampilkan jumlah foto saat sma,len_sma
1338,kenangan saat sma apa saja,sma 
1339,tampilkan foto ovil saja ya,ovil 
